dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
onset-to-death,Gamma,AC,17.4,"(16.1, 18.8)",119.4,"(98.8, 143.6)",2.6,"(2.2, 2.9)",0.1,"(0.1, 0.2)",,
onset-to-death,Gamma,AL,14.0,"(13.4, 14.5)",82.5,"(74.3, 91.9)",2.4,"(2.2, 2.5)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,AM,15.6,"(15.3, 16.0)",95.3,"(89.1, 102.1)",2.6,"(2.4, 2.7)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,AP,14.5,"(13.2, 16.0)",99.1,"(79.8, 122.7)",2.1,"(1.9, 2.4)",0.1,"(0.1, 0.2)",,
onset-to-death,Gamma,BA,15.1,"(14.7, 15.6)",116.6,"(107.9, 126.1)",2.0,"(1.9, 2.1)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,CE,16.1,"(15.8, 16.4)",116.4,"(111.1, 122.0)",2.2,"(2.2, 2.3)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,DF,16.4,"(15.6, 17.2)",105.0,"(92.7, 119.0)",2.6,"(2.3, 2.8)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,ES,17.0,"(16.4, 17.5)",107.8,"(98.2, 118.1)",2.7,"(2.5, 2.9)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,GO,14.5,"(13.8, 15.2)",87.9,"(77.9, 99.1)",2.4,"(2.2, 2.6)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,MA,15.0,"(14.6, 15.4)",89.4,"(82.7, 96.5)",2.5,"(2.4, 2.7)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,MG,15.1,"(14.6, 15.7)",95.1,"(86.3, 104.7)",2.4,"(2.2, 2.6)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,MS,14.8,"(13.3, 16.4)",93.9,"(74.8, 116.8)",2.4,"(2.0, 2.7)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,MT,14.1,"(13.1, 15.1)",80.6,"(67.2, 96.4)",2.5,"(2.2, 2.8)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,PA,14.7,"(14.5, 15.0)",90.2,"(85.7, 94.9)",2.4,"(2.3, 2.5)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,PB,14.0,"(13.4, 14.5)",78.7,"(71.2, 87.3)",2.5,"(2.3, 2.7)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,PE,13.0,"(12.7, 13.2)",89.7,"(84.6, 95.1)",1.9,"(1.8, 1.9)",0.1,"(0.1, 0.2)",,
onset-to-death,Gamma,PI,16.5,"(15.6, 17.4)",114.8,"(99.4, 131.7)",2.4,"(2.1, 2.6)",0.1,"(0.1, 0.2)",,
onset-to-death,Gamma,PR,15.7,"(15.1, 16.4)",91.9,"(81.8, 102.7)",2.7,"(2.5, 2.9)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,RJ,14.2,"(14.0, 14.4)",103.3,"(99.5, 107.3)",2.0,"(1.9, 2.0)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,RN,15.2,"(14.6, 15.9)",91.9,"(81.8, 103.0)",2.5,"(2.3, 2.7)",0.2,"(0.2, 0.2)",,
onset-to-death,Gamma,RO,14.7,"(13.6, 15.8)",92.1,"(76.4, 110.0)",2.3,"(2.1, 2.6)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,RR,11.2,"(10.2, 12.1)",68.1,"(55.9, 83.0)",1.8,"(1.6, 2.1)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,RS,15.4,"(14.7, 16.2)",116.0,"(103.0, 130.8)",2.1,"(1.9, 2.2)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,SC,17.8,"(16.7, 19.0)",146.8,"(125.1, 173.5)",2.2,"(1.9, 2.4)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,SE,13.4,"(12.2, 14.5)",112.5,"(91.4, 138.6)",1.6,"(1.4, 1.8)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,SP,16.2,"(16.0, 16.4)",114.8,"(111.6, 118.0)",2.3,"(2.2, 2.3)",0.1,"(0.1, 0.1)",,
onset-to-death,Gamma,TO,14.8,"(13.5, 16.2)",97.3,"(79.1, 119.7)",2.3,"(2.0, 2.6)",0.2,"(0.1, 0.2)",,
onset-to-death,Gamma,Brazil,15.2,"(15.1, 15.3)",105.3,"(103.7, 106.9)",2.2,"(2.2, 2.2)",0.1,"(0.1, 0.1)",,
