,ICU-stay,onset-to-death,onset-to-diagnosis,onset-to-hospital-admission,onset-to-hospital-discharge,onset-to-ICU-admission,Hospital-Admission-to-death,onset-to-diagnosis-pcr
AC,2,239,1,225,4,9,115,345
AL,680,1040,416,1600,629,859,894,1344
AM,1010,2736,1604,5971,2573,1323,2403,4502
AP,68,181,153,299,136,80,175,183
BA,982,2241,352,4563,1338,2300,2013,5266
CE,1534,5801,1749,9685,4536,2768,4905,8286
DF,499,662,311,2687,1415,1198,655,2864
ES,589,1292,321,1409,507,778,1023,1774
GO,375,698,122,1813,783,819,637,2018
MA,197,1950,821,1485,247,341,1097,1562
MG,603,1223,604,4782,2210,1521,1176,4910
MS,46,131,126,723,417,171,124,764
MT,83,286,2175,1347,2191,384,248,4695
PA,1270,4727,1351,8226,3034,1993,3934,6921
PB,349,1136,644,1992,508,740,1037,1584
PE,311,4408,190,6574,1888,1566,3284,9745
PI,139,515,240,2161,341,490,497,2314
PR,898,793,124,3174,1952,1168,773,3490
RJ,1490,9750,1446,18019,7438,7165,9068,21159
RN,337,876,544,1878,664,693,821,1517
RO,180,254,293,554,180,284,238,488
RR,53,270,92,98,51,56,265,200
RS,971,790,477,3565,2328,1277,770,4144
SC,291,408,343,1600,777,599,389,1634
SE,193,303,117,938,181,306,295,1116
SP,8515,16348,4769,55735,32937,17642,15808,63184
TO,44,213,53,515,213,87,177,549
